author_id,author
542,Stephen King
543,Stephen King/Bernie Wrightson
544,Stephen King/Bernie Wrightson/Michele Wrightson
545,Stephen King/Bettina Blanch Tyroller
546,Stephen King/Jerry N. Uelsmann
547,Stephen King/Marie Milpois
548,Stephen King/Ned Dameron
549,Stephen King/Peter Straub
550,Stephen King/Robin Waterfield
551,Stephen King/William Olivier Desmond/Maria Teresa Marenco
552,Stephen R. Covey/A. Roger Merrill/Rebecca R. Merrill
553,Stephen R. Covey/Jim Collins
554,Stephenie Meyer
555,Steve Martin
556,Steven D. Levitt/Stephen J. Dubner
557,Steven Johnson
558,Steven Pressfield/Robert McKee
559,Sue Miller
560,Sue Monk Kidd
561,Sun Tzu/Thomas Cleary/Pulat Otkan/Giray Fidan
562,Susan Hill/John Lawrence
563,Sylvia Nasar
564,T.H. White
565,T.S. Eliot/Michael North
566,Tad Williams
567,Tamora Pierce
568,Teddy Slater/Ron Dias/Ric González
569,Tennessee Williams
570,Terry Goodkind
571,Terry Pratchett
572,Tess Gerritsen
573,Theo LeSieg/Dr. Seuss/Roy McKie
574,Theodore Taylor
575,Thomas  Harris
576,Thomas Cahill
577,Thomas Hardy/Alexander Theroux
578,Thomas Hardy/Rosemarie Morgan/Shannon Russell
579,Thomas J. Stanley/William D. Danko
580,Thomas L. Friedman
581,Thomas More/Paul Turner
582,Thomas Pynchon
583,Tim LaHaye/Jerry B. Jenkins
584,Tite Kubo
585,Tom Clancy
586,Tom Clancy/David Dukes
587,Tom Robbins
588,Tom Stoppard
589,Toni Morrison
590,Tracy Kidder
591,Trudi Canavan
592,Tsugumi Ohba/Takeshi Obata/Pookie Rolf
593,Tucker Max
594,Umberto Eco/Girolamo De Michele/Alastair McEwen/Agnolo di Cosimo Bronzino
595,Umberto Eco/William Weaver
596,Upton Sinclair/Earl Lee/Kathleen DeGrave
597,Ursula K. Le Guin
598,Ursula K. Le Guin/Margot Paronis
599,Victor Hugo/Walter J. Cobb
600,Victoria Finlay
601,Viktor E. Frankl/Harold S. Kushner/William J. Winslade/Isle Lasch
602,Vince Flynn
603,Virgil/Robert Fitzgerald
604,Virginia Woolf
605,Virginia Woolf/Maureen Howard
606,Vladimir Nabokov
607,W. Chan Kim/Renée Mauborgne
608,W. Somerset Maugham
609,W. Somerset Maugham/Benjamin DeMott/Maeve Binchy
610,Wallace Stegner/Terry Tempest Williams/T.H. Watkins
611,Wally Lamb
612,Walter Dean Myers
613,Walter Isaacson
614,Walter Scott/Graham Tulloch
615,Wilkie Collins/Carolyn G. Heilbrun
